Слово,,Перевод,Статус
absolutely,adv,"абсолютно, полностью",
accept,v,принимать,
access,n,доступ,
accident,,"1) n несчастный случай, происшествие 2) ~ally adv случайно",
according,adv,согласно чему-либо,
accountant,n,бухгалтер,
achieve,v,достигать,
activate,v,"приводить в действие, активировать",
add,v,добавлять,
addition,n,добавление,
admire,v,"восхищаться, любоваться",
admission,n,"вход, принятие, допущение",
advertisement,n,рекламное объявление,
advertising,adj,"рекламный, рекламирующий",
affect,v,влиять,
afford,v,позволять себе; быть по карману,
afraid,,1) adv испуганный; 2) be ~ (of) v бояться,
agent,n,"действующая сила, фактор, вещество",
ahead,adv,~ of впереди,
airline,n,авиалиния; ~ safety instruction cards руководство по безопасности (в самолете),
alarm clock,n,будильник,
alike,adj,"похожий, схожий",
alive,adj,живой,
aloud,adv,вслух,
aluminum,n,(хим.) алюминий,
amaze,v,"поражать, удивлять",
amazed,adj,"пораженный, изумленный",
amazing,adj,"поразительный, изумительный",
ambulance,n,машина скорой помощи,
anarchy,n,анархия,
ancient,adj,древний,
angel,n,ангел,
angry,adj,"сердитый, злой",
animal,adj,животное,
ankle,n,лодыжка,
announce,n,"объявлять, сообщать",
announcement,n,"объявление, уведомление",
anymore,adv,"больше не, уже не",
anywhere,adv,где-либо,
apartment,n,квартира,
apparent,adj,"явный, очевидный",
appear,v,"появляться, возникать",
applicant,n,"кандидат, претендент, заявитель",
appreciate,v,"ценить, быть признательным",
arithmetic,n,арифметика,
arm,n,рука; ~chare кресло,
army,n,армия,
around,adv,"вокруг, вблизи",
arrest,n,"1) n арест; 2) v арестовывать, задерживать",
arrival,n,"прибытие, приезд",
